               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021967,            0.047177,           0.0070697,             0.96476,             0.97017,              0.9821,             0.81974,            0.026907,             0.10106,           0.0017838,            0.070175,           0.0033138,           0.0033138
                   1,            0.029494,            0.053469,           0.0094425,             0.97027,             0.93648,             0.97163,             0.72054,            0.032705,             0.11075,           0.0031777,            0.040154,           0.0066252,           0.0066252
                   2,            0.032615,            0.057819,            0.010813,             0.96545,             0.94185,             0.96559,             0.66141,            0.035691,             0.11942,           0.0028855,             0.01011,           0.0099146,           0.0099146
                   3,            0.033466,            0.059685,              0.0121,             0.84472,              0.9112,              0.9361,             0.70331,            0.032737,             0.11448,           0.0071521,            0.009901,            0.009901,            0.009901
                   4,            0.033714,            0.063328,            0.014197,             0.93667,             0.94073,              0.9757,             0.72926,            0.030444,             0.10914,            0.004649,            0.009901,            0.009901,            0.009901
                   5,            0.033239,              0.0606,             0.01336,             0.96046,              0.9428,             0.97502,             0.72743,            0.030426,             0.11459,           0.0031945,            0.009868,            0.009868,            0.009868
                   6,            0.033481,            0.062927,            0.012681,             0.94443,              0.9501,             0.97957,             0.73962,            0.030044,             0.11461,           0.0032348,            0.009835,            0.009835,            0.009835
                   7,            0.034143,            0.064832,            0.012757,             0.90708,              0.9394,             0.97274,             0.74072,            0.028638,              0.1105,           0.0039574,            0.009802,            0.009802,            0.009802
                   8,            0.032562,            0.062005,            0.013136,             0.92334,             0.94926,             0.95667,             0.72503,            0.030963,             0.11462,           0.0043593,            0.009769,            0.009769,            0.009769
                   9,            0.032714,            0.059339,            0.012913,             0.94931,             0.94707,             0.97205,             0.74587,            0.028672,             0.10719,           0.0036462,            0.009736,            0.009736,            0.009736
                  10,            0.033529,            0.059253,            0.013201,              0.9557,             0.94753,             0.96516,             0.72791,             0.02991,             0.11289,            0.003537,            0.009703,            0.009703,            0.009703
                  11,            0.032204,            0.058222,            0.012499,             0.95604,             0.93241,             0.97615,             0.73593,            0.029956,             0.10937,           0.0032621,             0.00967,             0.00967,             0.00967
                  12,            0.032363,            0.058218,            0.012733,             0.91847,             0.94414,             0.97911,             0.71375,            0.031751,              0.1165,            0.003804,            0.009637,            0.009637,            0.009637
                  13,            0.031813,            0.059916,            0.012632,             0.94054,             0.95704,             0.98056,              0.7494,            0.027692,             0.10879,           0.0036819,            0.009604,            0.009604,            0.009604
                  14,            0.032641,             0.06134,            0.012964,             0.95456,             0.94474,             0.96854,             0.73989,            0.028655,             0.10944,           0.0032379,            0.009571,            0.009571,            0.009571
                  15,            0.031857,            0.059971,            0.012031,             0.95248,             0.96111,             0.98044,             0.76628,            0.031628,             0.11398,           0.0033517,            0.009538,            0.009538,            0.009538
                  16,            0.032096,            0.059628,            0.012852,             0.97311,              0.9494,              0.9749,             0.77104,            0.025815,             0.10424,           0.0029677,            0.009505,            0.009505,            0.009505
                  17,            0.031434,            0.061541,            0.013659,              0.9671,             0.93299,             0.97702,             0.78555,            0.027802,             0.10537,           0.0039658,            0.009472,            0.009472,            0.009472
                  18,            0.031762,            0.062849,            0.012868,             0.96103,             0.93156,             0.97703,             0.74451,            0.029953,             0.11048,           0.0042494,            0.009439,            0.009439,            0.009439
                  19,            0.031585,            0.060825,             0.01265,              0.9689,             0.94032,             0.97202,             0.76674,            0.027393,             0.10773,           0.0032517,            0.009406,            0.009406,            0.009406
                  20,            0.030792,            0.059377,            0.012793,             0.93487,             0.96605,             0.97894,             0.72387,            0.028645,             0.10735,           0.0029039,            0.009373,            0.009373,            0.009373
                  21,            0.031739,            0.058805,            0.012987,             0.95526,             0.94789,             0.97698,             0.72329,            0.030603,              0.1145,           0.0030265,             0.00934,             0.00934,             0.00934
                  22,            0.031534,            0.059041,            0.012808,             0.95823,             0.96171,             0.96952,             0.75434,            0.027879,             0.10894,           0.0028511,            0.009307,            0.009307,            0.009307
                  23,            0.031451,            0.062656,            0.012237,             0.94286,             0.97242,             0.98628,             0.77081,            0.028032,             0.10833,           0.0029917,            0.009274,            0.009274,            0.009274
                  24,            0.030866,            0.058075,            0.012861,             0.96182,              0.9435,             0.97725,             0.74389,            0.028769,             0.11248,           0.0033254,            0.009241,            0.009241,            0.009241
                  25,            0.030807,            0.058039,            0.012621,             0.96867,              0.9375,             0.97625,             0.78255,            0.026344,              0.1056,            0.002982,            0.009208,            0.009208,            0.009208
                  26,            0.029977,            0.057595,             0.01225,             0.98132,             0.93827,             0.96673,             0.79121,            0.025332,             0.10374,           0.0028866,            0.009175,            0.009175,            0.009175
                  27,            0.030651,            0.059694,            0.011976,             0.96317,             0.96057,             0.97466,              0.7774,            0.027154,             0.10836,           0.0033288,            0.009142,            0.009142,            0.009142
                  28,            0.030494,            0.057439,            0.012182,             0.96429,             0.94989,              0.9728,             0.76911,            0.026964,             0.10472,           0.0035906,            0.009109,            0.009109,            0.009109
                  29,            0.030235,            0.056655,            0.012492,             0.97439,             0.94462,             0.98076,             0.77713,            0.026479,             0.10483,           0.0034207,            0.009076,            0.009076,            0.009076
                  30,            0.030978,             0.06038,             0.01206,             0.97915,             0.94449,             0.96949,             0.79146,             0.02517,             0.10347,           0.0031346,            0.009043,            0.009043,            0.009043
                  31,            0.030065,            0.057169,            0.012784,             0.97525,             0.94943,             0.97929,             0.80272,             0.02533,             0.10179,           0.0038329,             0.00901,             0.00901,             0.00901
                  32,             0.03007,             0.06017,            0.011924,             0.97686,             0.93986,             0.96373,             0.76501,            0.026152,             0.10397,           0.0031538,            0.008977,            0.008977,            0.008977
                  33,            0.030498,             0.05934,            0.012748,             0.95863,             0.93983,             0.96854,             0.76353,            0.027375,             0.10929,           0.0031814,            0.008944,            0.008944,            0.008944
                  34,            0.030011,            0.060252,            0.012575,             0.96922,               0.939,              0.9576,             0.79289,            0.025598,             0.10268,           0.0029534,            0.008911,            0.008911,            0.008911
