               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022363,            0.046448,           0.0074088,             0.94386,             0.96331,             0.96747,             0.80123,            0.027131,             0.10891,           0.0041775,            0.070185,           0.0033128,           0.0033128
                   1,            0.028576,             0.05281,           0.0097136,             0.94939,             0.94908,             0.97645,             0.76175,            0.030813,             0.11434,           0.0047609,            0.040163,           0.0066242,           0.0066242
                   2,             0.03238,             0.05568,            0.011177,             0.89931,             0.91896,             0.95832,              0.6938,            0.032145,              0.1206,           0.0055119,            0.010119,           0.0099136,           0.0099136
                   3,            0.033807,             0.05979,            0.012664,             0.93988,             0.94898,             0.97677,             0.73159,            0.031035,             0.11976,           0.0077449,            0.009901,            0.009901,            0.009901
                   4,            0.033475,            0.062071,            0.012566,             0.94358,             0.95405,             0.96741,             0.71623,            0.033333,             0.12857,           0.0055957,            0.009901,            0.009901,            0.009901
                   5,            0.032929,            0.056925,            0.012564,             0.90942,             0.94627,              0.9653,             0.72382,            0.032954,             0.12053,           0.0058008,            0.009868,            0.009868,            0.009868
                   6,            0.033242,            0.063091,            0.012597,             0.92005,             0.95478,             0.97506,             0.71475,             0.03175,             0.12437,           0.0064767,            0.009835,            0.009835,            0.009835
                   7,            0.033262,            0.058875,            0.013467,             0.92195,             0.95854,             0.96773,             0.74801,            0.030067,             0.11684,            0.005109,            0.009802,            0.009802,            0.009802
                   8,            0.033886,            0.062343,            0.013035,             0.92812,             0.95209,             0.97267,              0.7458,            0.031331,             0.11811,           0.0047376,            0.009769,            0.009769,            0.009769
                   9,            0.032388,            0.059857,            0.012753,             0.95309,             0.94578,             0.98081,             0.76834,            0.029637,             0.11578,           0.0059062,            0.009736,            0.009736,            0.009736
                  10,            0.032245,            0.061414,            0.013299,             0.90242,             0.95275,             0.96698,             0.70951,            0.033366,             0.12579,           0.0061058,            0.009703,            0.009703,            0.009703
                  11,            0.032349,            0.058685,             0.01337,             0.96507,              0.9239,             0.96814,             0.71953,            0.030859,             0.11861,           0.0065603,             0.00967,             0.00967,             0.00967
                  12,            0.032746,            0.062157,            0.012312,             0.90815,             0.94338,             0.97397,             0.73001,            0.029621,             0.11976,           0.0070264,            0.009637,            0.009637,            0.009637
                  13,             0.03205,            0.057717,            0.013747,             0.90795,             0.96013,             0.98536,              0.7608,            0.028925,             0.11552,           0.0055392,            0.009604,            0.009604,            0.009604
                  14,            0.031928,            0.059845,            0.012357,             0.91893,              0.9564,             0.96974,             0.74911,            0.028836,             0.11498,            0.005685,            0.009571,            0.009571,            0.009571
                  15,            0.031918,            0.061152,            0.012603,              0.9327,              0.9624,             0.98155,             0.74689,            0.028109,             0.11454,           0.0053853,            0.009538,            0.009538,            0.009538
                  16,            0.032373,            0.060485,            0.012091,             0.94106,             0.94962,             0.96441,             0.74993,            0.028367,             0.11308,           0.0068959,            0.009505,            0.009505,            0.009505
                  17,             0.03194,            0.059362,            0.012507,             0.93595,             0.95735,             0.97569,             0.74741,            0.028189,             0.11324,           0.0056147,            0.009472,            0.009472,            0.009472
                  18,            0.031661,            0.061772,            0.013087,             0.96244,             0.92535,             0.95832,              0.7007,            0.030849,             0.11961,           0.0063919,            0.009439,            0.009439,            0.009439
                  19,            0.031879,            0.060245,            0.012511,             0.93475,             0.95824,             0.97787,             0.73435,            0.029871,             0.11601,           0.0060312,            0.009406,            0.009406,            0.009406
                  20,            0.032432,            0.061407,             0.01265,             0.96074,              0.9565,             0.96924,             0.74492,            0.031104,             0.11808,           0.0051106,            0.009373,            0.009373,            0.009373
                  21,            0.031705,            0.057751,             0.01267,             0.93469,              0.9483,             0.95703,             0.72613,            0.030478,             0.11725,           0.0061155,             0.00934,             0.00934,             0.00934
                  22,            0.031391,              0.0569,            0.011874,             0.95985,             0.96307,             0.98065,             0.74007,            0.030727,             0.11589,           0.0041011,            0.009307,            0.009307,            0.009307
                  23,            0.030784,            0.058148,            0.012429,             0.95811,              0.9583,             0.96949,             0.76273,            0.028963,             0.11281,           0.0044844,            0.009274,            0.009274,            0.009274
                  24,            0.031099,            0.060935,               0.012,             0.94658,             0.93836,             0.96898,             0.75941,            0.028208,              0.1153,           0.0053138,            0.009241,            0.009241,            0.009241
                  25,            0.030586,            0.058834,            0.011966,             0.96933,             0.95804,             0.98557,             0.76494,            0.028147,             0.11415,           0.0049966,            0.009208,            0.009208,            0.009208
                  26,            0.030778,            0.058668,            0.012109,             0.96317,             0.95145,             0.97502,             0.79051,            0.027611,             0.11204,           0.0058231,            0.009175,            0.009175,            0.009175
                  27,            0.030533,             0.05617,             0.01182,              0.9729,             0.94543,             0.97786,             0.78413,            0.026274,             0.11119,           0.0041279,            0.009142,            0.009142,            0.009142
                  28,            0.030229,            0.056893,            0.011676,             0.95593,             0.96289,             0.98134,             0.76409,            0.028466,             0.11328,           0.0043698,            0.009109,            0.009109,            0.009109
                  29,            0.031218,            0.056846,            0.011967,             0.94006,             0.95488,             0.96835,             0.73372,            0.029502,             0.11556,           0.0047838,            0.009076,            0.009076,            0.009076
                  30,            0.030643,            0.056093,            0.011949,             0.95252,             0.95141,             0.97447,             0.79207,            0.027395,             0.11074,           0.0048225,            0.009043,            0.009043,            0.009043
                  31,            0.030455,            0.056062,            0.011646,             0.93192,             0.92631,              0.9616,             0.74755,            0.027392,             0.11268,           0.0053812,             0.00901,             0.00901,             0.00901
                  32,            0.030989,            0.057986,            0.011973,             0.93537,             0.95445,              0.9704,              0.7449,            0.028242,             0.11316,           0.0053327,            0.008977,            0.008977,            0.008977
                  33,            0.030362,            0.056179,            0.012757,             0.94293,             0.95832,             0.97465,             0.74694,            0.029174,              0.1145,           0.0044862,            0.008944,            0.008944,            0.008944
                  34,            0.030166,            0.059159,            0.012541,             0.95013,             0.95526,             0.97122,             0.77526,            0.026572,             0.11332,           0.0052187,            0.008911,            0.008911,            0.008911
                  35,            0.030847,            0.058774,             0.01253,             0.95892,             0.96119,             0.97791,             0.77915,            0.028319,             0.11345,           0.0049685,            0.008878,            0.008878,            0.008878
                  36,            0.030589,            0.056748,             0.01162,             0.96072,             0.96267,              0.9835,              0.7867,            0.026955,             0.10802,           0.0038301,            0.008845,            0.008845,            0.008845
