               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.014773,            0.031369,           0.0052934,             0.99779,             0.99977,             0.99498,             0.91695,            0.013842,            0.024763,          0.00020904,            0.070156,            0.003316,            0.003316
                   1,            0.019378,            0.036057,           0.0071479,             0.99603,             0.99954,               0.995,             0.88157,            0.016369,            0.027727,          0.00044816,            0.040134,           0.0066274,           0.0066274
                   2,            0.021975,            0.038532,            0.008219,             0.99418,                   1,             0.99467,             0.80788,             0.02084,            0.032687,          0.00057934,             0.01009,           0.0099168,           0.0099168
                   3,             0.02273,             0.04077,           0.0096002,             0.98898,             0.99847,             0.99438,             0.85274,            0.017177,            0.031444,          0.00067923,            0.009901,            0.009901,            0.009901
                   4,            0.022535,            0.042577,           0.0096078,              0.9968,             0.99863,             0.99495,             0.84874,            0.019934,            0.032242,          0.00075683,            0.009901,            0.009901,            0.009901
                   5,            0.022784,            0.041916,           0.0097271,             0.99224,             0.99923,             0.99485,             0.84467,            0.018332,             0.03165,          0.00065728,            0.009868,            0.009868,            0.009868
                   6,            0.023829,            0.045185,            0.010343,             0.99039,              0.9987,             0.99477,             0.88341,            0.015281,            0.029326,          0.00079025,            0.009835,            0.009835,            0.009835
                   7,            0.022282,             0.04205,           0.0097356,             0.99273,             0.99993,             0.99478,             0.90717,            0.014005,            0.028522,          0.00068656,            0.009802,            0.009802,            0.009802
                   8,            0.022052,            0.040585,           0.0098277,             0.99726,             0.99903,               0.995,             0.90239,            0.014652,            0.028065,          0.00061606,            0.009769,            0.009769,            0.009769
                   9,            0.022202,            0.040289,           0.0099962,             0.99377,              0.9997,             0.99414,             0.90957,            0.014401,            0.027935,          0.00072076,            0.009736,            0.009736,            0.009736
                  10,            0.021686,            0.040422,           0.0095496,             0.99476,             0.99959,             0.99491,             0.89236,            0.014554,            0.027476,          0.00064708,            0.009703,            0.009703,            0.009703
                  11,            0.022117,            0.040111,           0.0095914,             0.99584,             0.99605,               0.995,             0.91209,            0.013087,             0.02677,           0.0006993,             0.00967,             0.00967,             0.00967
                  12,            0.021908,            0.041291,           0.0097058,             0.99339,             0.99822,              0.9949,             0.83537,            0.019614,            0.033105,          0.00077981,            0.009637,            0.009637,            0.009637
                  13,            0.022431,            0.041167,           0.0095332,             0.99631,             0.99732,               0.995,             0.89631,            0.015091,            0.028531,          0.00071248,            0.009604,            0.009604,            0.009604
                  14,            0.021301,            0.040549,            0.010321,             0.99661,             0.99967,               0.995,             0.90017,            0.013261,            0.026469,          0.00068578,            0.009571,            0.009571,            0.009571
                  15,            0.022711,            0.041742,           0.0097392,             0.99588,             0.99907,             0.99499,             0.90229,            0.013872,            0.027054,          0.00070917,            0.009538,            0.009538,            0.009538
                  16,            0.021049,            0.042771,           0.0098353,             0.99791,             0.99914,               0.995,             0.89104,             0.01513,            0.028355,          0.00063156,            0.009505,            0.009505,            0.009505
                  17,            0.021052,            0.039122,           0.0096809,             0.99666,             0.99936,               0.995,             0.84268,            0.018739,            0.031535,          0.00059618,            0.009472,            0.009472,            0.009472
                  18,            0.021999,            0.039581,           0.0091454,             0.99764,              0.9999,               0.995,             0.86022,            0.017217,            0.030704,          0.00066698,            0.009439,            0.009439,            0.009439
                  19,            0.021237,            0.040389,           0.0095458,             0.99677,             0.99996,             0.99495,             0.91233,            0.012738,            0.026145,          0.00057145,            0.009406,            0.009406,            0.009406
                  20,            0.021134,            0.039431,           0.0094101,             0.99773,             0.99972,               0.995,             0.89604,            0.013533,            0.026143,          0.00062011,            0.009373,            0.009373,            0.009373
                  21,            0.021048,            0.039947,           0.0094228,             0.99405,             0.99833,             0.99438,             0.91197,             0.01196,            0.025193,          0.00082232,             0.00934,             0.00934,             0.00934
                  22,            0.020189,            0.038864,           0.0097253,             0.99786,             0.99923,               0.995,             0.88123,            0.013851,            0.027016,          0.00060638,            0.009307,            0.009307,            0.009307
                  23,            0.020766,            0.040673,           0.0095377,             0.99436,             0.99963,             0.99497,             0.92372,            0.011705,            0.024973,          0.00060797,            0.009274,            0.009274,            0.009274
                  24,            0.020122,            0.039398,           0.0096021,             0.99621,             0.99957,             0.99499,             0.89894,             0.01268,            0.025915,          0.00057408,            0.009241,            0.009241,            0.009241
                  25,            0.020631,            0.040555,           0.0095479,             0.99717,             0.99959,               0.995,             0.90144,             0.01308,            0.026382,          0.00066751,            0.009208,            0.009208,            0.009208
                  26,            0.020901,            0.040489,           0.0094721,             0.99693,             0.99985,             0.99495,             0.89361,            0.013205,            0.026035,          0.00060784,            0.009175,            0.009175,            0.009175
                  27,            0.020372,            0.038175,           0.0093883,             0.99655,             0.99954,             0.99488,              0.8926,            0.014115,            0.027276,          0.00063498,            0.009142,            0.009142,            0.009142
                  28,            0.020464,             0.03847,            0.009392,             0.99633,              0.9998,               0.995,              0.9097,            0.013277,            0.026239,          0.00059224,            0.009109,            0.009109,            0.009109
                  29,            0.020352,            0.040219,            0.009658,             0.99672,             0.99992,             0.99499,             0.91225,            0.013271,            0.026365,          0.00053601,            0.009076,            0.009076,            0.009076
                  30,            0.019566,            0.037144,           0.0093622,             0.99587,             0.99937,             0.99498,             0.90937,            0.012982,            0.025652,          0.00060515,            0.009043,            0.009043,            0.009043
                  31,            0.020773,            0.041081,           0.0095667,             0.99689,             0.99987,             0.99498,             0.87317,            0.015791,            0.027929,          0.00066087,             0.00901,             0.00901,             0.00901
                  32,            0.019489,            0.036687,           0.0093223,             0.99707,             0.99989,             0.99497,             0.88891,            0.013756,            0.026381,          0.00052059,            0.008977,            0.008977,            0.008977
                  33,            0.020602,            0.039045,            0.009239,             0.99706,             0.99813,               0.995,             0.90804,            0.013918,            0.026834,          0.00057619,            0.008944,            0.008944,            0.008944
                  34,            0.020393,            0.039528,           0.0087987,              0.9966,             0.99903,               0.995,             0.91179,             0.01206,            0.024876,          0.00055574,            0.008911,            0.008911,            0.008911
                  35,            0.020411,            0.038608,           0.0089429,              0.9949,             0.99945,             0.99496,             0.90516,            0.012392,            0.025295,          0.00055667,            0.008878,            0.008878,            0.008878
                  36,            0.019735,            0.037842,            0.009192,             0.99758,             0.99959,               0.995,             0.90937,            0.012305,            0.025329,          0.00056525,            0.008845,            0.008845,            0.008845
                  37,            0.019911,            0.037341,            0.008726,             0.99724,                   1,               0.995,             0.90895,            0.012283,            0.025016,          0.00052266,            0.008812,            0.008812,            0.008812
                  38,            0.020531,            0.039901,           0.0090689,             0.99721,                   1,             0.99498,             0.93098,            0.010733,            0.023026,          0.00053298,            0.008779,            0.008779,            0.008779
                  39,            0.019822,            0.038274,           0.0090791,             0.99794,              0.9998,               0.995,             0.93267,            0.010717,            0.023384,           0.0005199,            0.008746,            0.008746,            0.008746
                  40,            0.019133,            0.037669,           0.0090149,             0.99774,             0.99989,             0.99494,             0.89911,             0.01364,            0.026255,          0.00052558,            0.008713,            0.008713,            0.008713
                  41,            0.019344,            0.038125,           0.0091178,             0.99745,             0.99905,               0.995,             0.92479,            0.011559,            0.024352,          0.00050475,             0.00868,             0.00868,             0.00868
                  42,            0.019245,            0.037508,           0.0088531,             0.99678,             0.99985,               0.995,             0.92525,            0.010757,            0.023349,          0.00053853,            0.008647,            0.008647,            0.008647
                  43,            0.019814,            0.037943,           0.0092383,             0.99685,                   1,               0.995,              0.9265,             0.01177,            0.023986,           0.0005448,            0.008614,            0.008614,            0.008614
                  44,            0.020235,            0.038284,           0.0090718,             0.99651,             0.99953,               0.995,             0.88794,            0.013523,             0.02586,          0.00055356,            0.008581,            0.008581,            0.008581
                  45,            0.019045,            0.038329,           0.0086937,             0.99725,             0.99954,               0.995,             0.92483,            0.011237,             0.02379,          0.00046381,            0.008548,            0.008548,            0.008548
                  46,            0.018939,            0.037113,           0.0094306,             0.99723,             0.99946,             0.99499,             0.93435,             0.01072,            0.022583,          0.00053744,            0.008515,            0.008515,            0.008515
                  47,            0.020188,            0.038655,             0.00885,             0.99637,              0.9998,               0.995,             0.93254,            0.010542,            0.022998,          0.00054642,            0.008482,            0.008482,            0.008482
                  48,            0.020072,            0.038882,           0.0089817,             0.99774,             0.99928,               0.995,             0.93686,            0.010662,            0.022809,          0.00050011,            0.008449,            0.008449,            0.008449
                  49,             0.01852,            0.035525,            0.008795,             0.99793,             0.99994,               0.995,             0.93532,            0.010356,            0.022562,          0.00052833,            0.008416,            0.008416,            0.008416
                  50,            0.019069,            0.037119,           0.0088756,             0.99782,             0.99983,               0.995,             0.94455,            0.010089,            0.022039,          0.00054428,            0.008383,            0.008383,            0.008383
                  51,            0.019888,            0.038016,           0.0087859,             0.99552,             0.99949,               0.995,              0.9267,            0.010646,            0.022681,          0.00048042,             0.00835,             0.00835,             0.00835
                  52,            0.019528,            0.037596,           0.0084616,             0.99639,             0.99883,               0.995,             0.93698,            0.010719,            0.023183,          0.00054018,            0.008317,            0.008317,            0.008317
                  53,            0.018452,            0.036419,           0.0086718,             0.99635,             0.99987,               0.995,             0.93433,            0.010516,            0.022699,          0.00048584,            0.008284,            0.008284,            0.008284
                  54,            0.019143,             0.03773,           0.0085842,              0.9975,              0.9997,               0.995,             0.90985,            0.012472,            0.024576,          0.00048191,            0.008251,            0.008251,            0.008251
                  55,            0.018774,            0.036947,           0.0087379,             0.99738,              0.9996,               0.995,             0.92903,            0.011089,            0.023276,          0.00044494,            0.008218,            0.008218,            0.008218
                  56,            0.018929,            0.037348,           0.0086853,             0.99745,             0.99955,               0.995,             0.92765,            0.011213,            0.022826,           0.0004877,            0.008185,            0.008185,            0.008185
                  57,            0.018222,             0.03477,            0.008705,             0.99714,             0.99964,             0.99499,             0.92476,            0.011906,            0.023964,          0.00046259,            0.008152,            0.008152,            0.008152
                  58,            0.018752,            0.036123,           0.0085406,             0.99774,             0.99964,               0.995,             0.94602,            0.010246,            0.022265,          0.00044928,            0.008119,            0.008119,            0.008119
                  59,            0.019362,            0.038124,           0.0084708,             0.99662,             0.99961,               0.995,             0.93332,            0.010347,            0.021918,          0.00046113,            0.008086,            0.008086,            0.008086
                  60,            0.018839,            0.037008,           0.0084136,              0.9978,             0.99999,               0.995,             0.92014,            0.011485,            0.023408,          0.00045473,            0.008053,            0.008053,            0.008053
                  61,            0.018523,            0.035729,            0.008603,             0.99813,             0.99988,               0.995,             0.93519,            0.010017,            0.021976,          0.00043905,             0.00802,             0.00802,             0.00802
                  62,            0.018064,            0.036189,           0.0089566,             0.99774,             0.99973,               0.995,             0.94658,           0.0098013,            0.021291,          0.00045026,            0.007987,            0.007987,            0.007987
                  63,            0.017843,            0.034843,           0.0085897,             0.99694,             0.99976,               0.995,             0.94371,           0.0098888,            0.021675,           0.0004495,            0.007954,            0.007954,            0.007954
                  64,            0.018937,            0.036636,           0.0083024,             0.99771,             0.99952,               0.995,             0.94967,           0.0091401,            0.021029,          0.00042805,            0.007921,            0.007921,            0.007921
                  65,             0.01888,            0.037311,           0.0085336,             0.99766,              0.9998,               0.995,              0.9496,           0.0095417,            0.021585,          0.00040433,            0.007888,            0.007888,            0.007888
                  66,            0.019213,            0.037567,           0.0084836,             0.99806,             0.99939,               0.995,             0.94756,           0.0098399,            0.021522,          0.00045392,            0.007855,            0.007855,            0.007855
                  67,            0.018526,             0.03543,           0.0085827,             0.99761,             0.99981,               0.995,             0.95552,           0.0089897,            0.020453,          0.00043609,            0.007822,            0.007822,            0.007822
                  68,            0.018029,            0.035506,           0.0086086,             0.99719,             0.99955,             0.99494,             0.95044,           0.0096642,            0.021267,          0.00043167,            0.007789,            0.007789,            0.007789
                  69,            0.018605,            0.036898,           0.0084037,             0.99713,              0.9999,             0.99499,             0.93784,            0.010155,            0.021866,          0.00045061,            0.007756,            0.007756,            0.007756
                  70,             0.01801,            0.037031,           0.0085367,             0.99758,             0.99995,               0.995,             0.93855,            0.009938,             0.02147,          0.00044804,            0.007723,            0.007723,            0.007723
                  71,            0.018754,            0.036212,           0.0085856,              0.9975,             0.99987,               0.995,             0.94218,            0.009978,            0.021279,           0.0004458,             0.00769,             0.00769,             0.00769
                  72,            0.018028,            0.034686,           0.0081507,             0.99733,             0.99977,               0.995,             0.94676,           0.0097331,            0.021424,          0.00043098,            0.007657,            0.007657,            0.007657
                  73,            0.017883,            0.034632,           0.0083025,             0.99788,             0.99989,               0.995,             0.95061,           0.0092561,             0.02092,          0.00042324,            0.007624,            0.007624,            0.007624
                  74,            0.018701,            0.036388,           0.0084457,             0.99739,             0.99994,               0.995,             0.94381,           0.0094642,            0.020835,          0.00041942,            0.007591,            0.007591,            0.007591
                  75,            0.018539,            0.036789,           0.0082924,               0.998,             0.99995,               0.995,             0.95629,           0.0092274,            0.020465,          0.00041329,            0.007558,            0.007558,            0.007558
                  76,            0.017877,            0.036784,            0.008381,             0.99772,             0.99985,               0.995,             0.95075,           0.0094228,            0.020642,          0.00041313,            0.007525,            0.007525,            0.007525
                  77,            0.018284,            0.036158,           0.0082627,             0.99739,             0.99973,               0.995,             0.95153,           0.0096283,            0.020839,          0.00043373,            0.007492,            0.007492,            0.007492
                  78,            0.018617,             0.03685,           0.0081243,             0.99776,             0.99989,               0.995,             0.95741,           0.0089138,            0.019869,          0.00040472,            0.007459,            0.007459,            0.007459
                  79,            0.017714,            0.035103,           0.0082433,             0.99805,              0.9999,               0.995,             0.94874,           0.0093919,            0.020626,          0.00040271,            0.007426,            0.007426,            0.007426
                  80,            0.017592,            0.034783,           0.0082294,             0.99738,             0.99988,             0.99498,             0.95205,            0.009387,            0.020464,          0.00040141,            0.007393,            0.007393,            0.007393
