               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.019504,           0.0062903,           0.0026246,             0.98625,                   1,               0.995,             0.73312,            0.021545,           0.0067662,          0.00028929,            0.070222,           0.0033086,           0.0033086
                   1,            0.022764,           0.0065686,           0.0027497,             0.97057,             0.98864,             0.98299,             0.63301,            0.025378,           0.0070824,          0.00041824,            0.040178,           0.0065981,           0.0065981
                   2,            0.028983,            0.006852,           0.0033127,             0.94588,             0.99661,             0.99407,             0.56309,            0.036628,           0.0073688,          0.00074209,            0.010091,           0.0098436,           0.0098436
                   3,            0.029821,           0.0070977,           0.0043705,              0.9171,                   1,             0.99111,             0.55985,            0.033489,           0.0074595,           0.0010925,            0.009802,            0.009802,            0.009802
                   4,            0.030397,           0.0075781,           0.0043898,             0.97531,             0.99902,               0.995,             0.48746,              0.0378,           0.0077312,           0.0011534,            0.009802,            0.009802,            0.009802
                   5,            0.029391,           0.0072921,           0.0048417,             0.86163,             0.99315,               0.995,             0.54089,            0.036928,           0.0079269,           0.0011658,            0.009736,            0.009736,            0.009736
                   6,            0.029863,           0.0072782,           0.0043804,             0.98405,                   1,               0.995,             0.66508,            0.026629,           0.0072448,           0.0013094,             0.00967,             0.00967,             0.00967
                   7,            0.028216,           0.0072879,           0.0043055,             0.98519,                   1,               0.995,             0.64794,            0.028439,           0.0073542,          0.00089591,            0.009604,            0.009604,            0.009604
                   8,            0.028418,           0.0070418,           0.0050061,             0.96702,                   1,             0.99493,             0.64384,            0.033876,            0.007435,           0.0010465,            0.009538,            0.009538,            0.009538
                   9,            0.028049,           0.0071422,           0.0047553,             0.95687,              0.9945,               0.995,              0.6255,            0.029398,           0.0073448,          0.00081573,            0.009472,            0.009472,            0.009472
                  10,            0.028307,           0.0071046,            0.004624,             0.98546,                   1,               0.995,             0.68967,            0.025832,           0.0070303,           0.0010148,            0.009406,            0.009406,            0.009406
                  11,            0.028048,           0.0066448,            0.004392,             0.98347,                   1,               0.995,             0.66757,            0.028789,           0.0072324,          0.00097615,             0.00934,             0.00934,             0.00934
                  12,            0.028187,           0.0071322,           0.0046724,             0.97632,                   1,               0.995,             0.60343,            0.029473,            0.007276,          0.00083676,            0.009274,            0.009274,            0.009274
                  13,            0.027216,           0.0070471,           0.0044303,             0.98036,                   1,             0.99407,             0.68053,            0.027385,           0.0071086,          0.00094029,            0.009208,            0.009208,            0.009208
                  14,            0.028538,           0.0073281,           0.0046012,             0.98278,                   1,               0.995,             0.63128,            0.033736,            0.007344,           0.0008936,            0.009142,            0.009142,            0.009142
                  15,             0.02704,           0.0071246,           0.0038769,             0.98124,                   1,               0.995,             0.67735,            0.024176,           0.0070238,          0.00078293,            0.009076,            0.009076,            0.009076
                  16,             0.02786,           0.0071216,           0.0046358,             0.98122,                   1,               0.995,             0.68506,            0.025704,           0.0072084,          0.00074625,             0.00901,             0.00901,             0.00901
                  17,            0.026653,           0.0072147,           0.0043991,              0.9902,             0.99221,               0.995,             0.64251,            0.026062,           0.0072396,          0.00082129,            0.008944,            0.008944,            0.008944
                  18,             0.02776,            0.007069,           0.0042226,              0.9856,                   1,               0.995,             0.70618,            0.023855,           0.0069437,           0.0008517,            0.008878,            0.008878,            0.008878
                  19,            0.026215,             0.00694,           0.0038878,             0.98049,                   1,               0.995,             0.59657,             0.03133,           0.0072718,          0.00065164,            0.008812,            0.008812,            0.008812
                  20,            0.026822,           0.0071712,           0.0044825,             0.98718,                   1,               0.995,             0.61643,            0.032105,           0.0075364,          0.00067326,            0.008746,            0.008746,            0.008746
                  21,            0.025563,           0.0068753,           0.0037875,             0.98417,             0.99914,               0.995,             0.64524,            0.025978,            0.007145,          0.00065746,             0.00868,             0.00868,             0.00868
                  22,             0.02675,           0.0068759,           0.0045469,             0.98852,                   1,               0.995,             0.73001,             0.02354,           0.0070027,          0.00082388,            0.008614,            0.008614,            0.008614
                  23,            0.025634,           0.0068839,           0.0040885,             0.98247,                   1,               0.995,             0.64996,            0.026932,           0.0071753,           0.0006237,            0.008548,            0.008548,            0.008548
                  24,            0.026102,           0.0067957,           0.0038138,             0.98973,             0.99715,               0.995,             0.62922,            0.029006,            0.007185,          0.00082635,            0.008482,            0.008482,            0.008482
                  25,            0.025334,           0.0066821,           0.0037965,             0.98554,             0.99837,               0.995,              0.6776,            0.025885,           0.0070348,          0.00068971,            0.008416,            0.008416,            0.008416
                  26,            0.025715,           0.0068313,           0.0038917,             0.98855,             0.99086,               0.995,             0.73015,            0.026529,           0.0070041,          0.00063241,             0.00835,             0.00835,             0.00835
                  27,            0.025937,           0.0067359,           0.0041152,             0.98648,             0.99927,               0.995,              0.6891,            0.024183,           0.0071056,            0.000589,            0.008284,            0.008284,            0.008284
                  28,            0.025427,           0.0067937,           0.0039971,             0.98376,                   1,               0.995,             0.65329,            0.026224,           0.0071131,          0.00065377,            0.008218,            0.008218,            0.008218
                  29,             0.02468,           0.0067751,           0.0041507,             0.98081,                   1,               0.995,             0.67706,            0.024882,           0.0070089,          0.00061512,            0.008152,            0.008152,            0.008152
                  30,            0.025277,           0.0066372,           0.0039609,             0.95035,              0.9868,               0.995,             0.64318,            0.027592,            0.007114,          0.00059151,            0.008086,            0.008086,            0.008086
                  31,            0.025283,           0.0066805,           0.0035566,                0.99,                   1,               0.995,             0.68693,            0.024855,           0.0070986,          0.00061531,             0.00802,             0.00802,             0.00802
                  32,            0.024254,           0.0068199,           0.0035588,             0.98085,                   1,               0.995,             0.72238,            0.023059,           0.0068775,          0.00061186,            0.007954,            0.007954,            0.007954
                  33,            0.025084,           0.0065891,           0.0036281,             0.98936,             0.99897,               0.995,             0.71939,            0.022798,           0.0069332,          0.00057261,            0.007888,            0.007888,            0.007888
                  34,            0.024489,           0.0063917,           0.0037165,             0.98078,                   1,               0.995,             0.66666,            0.028207,           0.0071214,          0.00060826,            0.007822,            0.007822,            0.007822
                  35,            0.024382,           0.0067753,           0.0035027,             0.98598,                   1,               0.995,             0.69732,            0.022289,           0.0069626,          0.00055308,            0.007756,            0.007756,            0.007756
                  36,            0.023765,           0.0064804,           0.0033751,             0.97706,                   1,               0.995,             0.67017,            0.025082,           0.0071639,          0.00052191,             0.00769,             0.00769,             0.00769
                  37,             0.02441,           0.0067455,            0.003319,             0.98481,                   1,               0.995,             0.71741,             0.02229,           0.0068566,          0.00059858,            0.007624,            0.007624,            0.007624
