               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.016031,           0.0052021,           0.0017576,             0.98534,                   1,               0.995,             0.73381,            0.021136,           0.0068888,          0.00015956,            0.070222,           0.0033086,           0.0033086
                   1,            0.019252,           0.0055729,           0.0018116,             0.98436,                   1,               0.995,             0.67541,            0.026625,           0.0071618,          0.00022338,              0.0402,           0.0066201,           0.0066201
                   2,            0.024575,           0.0057131,            0.002404,             0.98433,                   1,               0.995,              0.6802,            0.024948,           0.0070148,          0.00055168,            0.010156,           0.0099095,           0.0099095
                   3,             0.02485,           0.0060827,           0.0029284,             0.98014,                   1,               0.995,             0.68334,            0.029407,           0.0069845,          0.00056715,            0.009901,            0.009901,            0.009901
                   4,             0.02524,           0.0064661,           0.0030787,             0.97281,             0.99905,               0.995,             0.67905,            0.027731,           0.0072744,          0.00060801,            0.009901,            0.009901,            0.009901
                   5,             0.02542,           0.0063749,           0.0033012,             0.97966,                   1,               0.995,             0.58988,            0.030482,            0.007421,          0.00056048,            0.009868,            0.009868,            0.009868
                   6,            0.025063,           0.0062481,           0.0032028,             0.97873,                   1,               0.995,             0.71937,            0.024304,           0.0067975,          0.00059153,            0.009835,            0.009835,            0.009835
                   7,            0.024601,           0.0062874,           0.0030034,             0.98452,                   1,               0.995,             0.70449,            0.024734,           0.0071781,          0.00057372,            0.009802,            0.009802,            0.009802
                   8,            0.023653,           0.0059455,           0.0033932,             0.98509,                   1,               0.995,             0.66888,            0.027842,            0.007171,          0.00053116,            0.009769,            0.009769,            0.009769
                   9,            0.024557,           0.0061406,           0.0034757,             0.98361,                   1,               0.995,             0.65513,            0.027128,             0.00726,          0.00065018,            0.009736,            0.009736,            0.009736
                  10,             0.02465,           0.0062479,           0.0034186,             0.98282,                   1,               0.995,             0.62554,             0.03241,           0.0075248,          0.00049779,            0.009703,            0.009703,            0.009703
                  11,             0.02335,           0.0057482,           0.0030548,             0.98483,                   1,               0.995,             0.66135,            0.028867,           0.0071538,          0.00054911,             0.00967,             0.00967,             0.00967
                  12,            0.024251,           0.0062121,           0.0033903,             0.98646,                   1,               0.995,             0.66854,             0.02513,           0.0069946,          0.00053611,            0.009637,            0.009637,            0.009637
                  13,            0.023507,           0.0062441,           0.0030614,             0.98573,                   1,               0.995,             0.69745,            0.025998,           0.0069824,          0.00053333,            0.009604,            0.009604,            0.009604
                  14,            0.024386,           0.0062927,            0.003117,             0.98273,                   1,               0.995,             0.67015,            0.029234,           0.0070586,          0.00057538,            0.009571,            0.009571,            0.009571
                  15,            0.023343,            0.006053,           0.0030312,              0.9813,                   1,               0.995,             0.66057,            0.026253,           0.0070296,          0.00054699,            0.009538,            0.009538,            0.009538
                  16,            0.023915,            0.006319,           0.0034418,              0.9852,                   1,               0.995,             0.72779,            0.025809,           0.0069771,          0.00042504,            0.009505,            0.009505,            0.009505
                  17,            0.024704,           0.0063899,           0.0035851,             0.98827,             0.99962,               0.995,             0.65138,            0.026454,           0.0070541,          0.00056671,            0.009472,            0.009472,            0.009472
                  18,            0.024173,           0.0062862,           0.0032949,             0.98687,                   1,               0.995,             0.73533,            0.023114,           0.0067781,          0.00049382,            0.009439,            0.009439,            0.009439
                  19,             0.02254,           0.0061966,            0.003092,             0.98518,             0.99257,               0.995,             0.64735,            0.028974,            0.007224,          0.00041954,            0.009406,            0.009406,            0.009406
                  20,            0.023749,           0.0064274,           0.0034481,             0.98584,                   1,               0.995,             0.67013,            0.030312,           0.0072774,          0.00050764,            0.009373,            0.009373,            0.009373
                  21,            0.022278,           0.0060528,           0.0030296,             0.98449,                   1,               0.995,                0.71,            0.024387,            0.006944,          0.00044282,             0.00934,             0.00934,             0.00934
                  22,            0.023667,           0.0061491,           0.0034802,             0.97466,                   1,               0.995,             0.71256,            0.024477,           0.0069238,          0.00054062,            0.009307,            0.009307,            0.009307
                  23,            0.022007,           0.0059858,           0.0031575,             0.98718,                   1,               0.995,             0.69642,            0.025179,           0.0069521,          0.00045156,            0.009274,            0.009274,            0.009274
                  24,            0.022374,           0.0060064,           0.0031156,             0.98482,                   1,               0.995,             0.66518,            0.027662,           0.0072418,          0.00052688,            0.009241,            0.009241,            0.009241
                  25,            0.022197,           0.0058908,           0.0030177,             0.99041,                   1,               0.995,             0.75873,            0.021509,           0.0066681,          0.00045162,            0.009208,            0.009208,            0.009208
                  26,            0.023061,           0.0061414,           0.0030628,             0.98706,             0.99963,               0.995,             0.73405,            0.022164,           0.0067451,          0.00045061,            0.009175,            0.009175,            0.009175
                  27,            0.023305,           0.0060367,           0.0029617,             0.99195,                   1,               0.995,             0.66525,            0.025796,           0.0073147,            0.000423,            0.009142,            0.009142,            0.009142
                  28,            0.022599,            0.006051,           0.0033278,             0.98697,                   1,               0.995,             0.70988,            0.023674,           0.0068858,           0.0004687,            0.009109,            0.009109,            0.009109
                  29,            0.022706,           0.0061044,           0.0032204,             0.98661,                   1,               0.995,             0.68817,            0.024683,           0.0070952,          0.00046073,            0.009076,            0.009076,            0.009076
                  30,            0.023115,           0.0060057,           0.0032687,             0.98943,                   1,               0.995,             0.65767,             0.02412,           0.0070606,          0.00051342,            0.009043,            0.009043,            0.009043
                  31,            0.022654,           0.0060261,           0.0030719,              0.9815,                   1,               0.995,             0.71513,            0.022742,           0.0069708,          0.00044867,             0.00901,             0.00901,             0.00901
                  32,            0.021948,           0.0061932,           0.0029532,             0.98344,                   1,               0.995,             0.69731,            0.022262,           0.0068792,          0.00041518,            0.008977,            0.008977,            0.008977
                  33,            0.021994,           0.0059647,           0.0028453,             0.98459,                   1,               0.995,             0.74666,            0.021821,           0.0068658,          0.00037365,            0.008944,            0.008944,            0.008944
